ID,timestamp,durantion,consumedDisk,consumedCPUrate,status,parentJob
kRIsqRwUVwnFQq2VJakNwlmup0,2017-10-25 15:08:15.853,-1336278149,0.55335313,0.30112374,-1689821997,DPrqcDxDJG8RGgX75VI1Z18NdC
jnuLwXSeV5bHVnIdpXV8YMR,2017-10-25 15:08:15.855,485252044,0.33407426,0.12129283,750038731,DPrqcDxDJG8RGgX75VI1Z18NdC
7odgBI50wBCenqDu73XQofpkA,2017-10-25 15:08:15.856,-1964529191,0.19813257,0.15284598,404090301,DPrqcDxDJG8RGgX75VI1Z18NdC
7qfJpVq85JI9o0UfvW17CGK,2017-10-25 15:08:15.856,-1078910863,0.6337933,0.6344036,-411476637,DPrqcDxDJG8RGgX75VI1Z18NdC
hvfCmZhci3Y5b8sItQ6XBgAvvN,2017-10-25 15:08:15.856,414403153,0.38580424,0.87673116,621750719,DPrqcDxDJG8RGgX75VI1Z18NdC
YGs0yoUyCi11HKGTlUl0cOb60,2017-10-25 15:08:15.857,-1851144953,0.20402908,0.66269904,847468136,DPrqcDxDJG8RGgX75VI1Z18NdC
KCd5poHK3NK9o9FX6ssaZXQk1,2017-10-25 15:08:15.858,412515892,0.76027447,0.26938307,-961338444,DPrqcDxDJG8RGgX75VI1Z18NdC
V6M4yezbcGDA2VYZVAqeHZiTd,2017-10-25 15:08:15.858,-1695079479,0.4218248,0.33844936,276252435,3iNFjelI6lzBnmxWDEi36C
1J99aYCmjUAlpEuKm7VoPdysHu,2017-10-25 15:08:15.859,-610034699,0.75067025,0.37609398,-1237993322,3iNFjelI6lzBnmxWDEi36C
bZdXAxYGynMlTgYvlpClZF6rr,2017-10-25 15:08:15.859,-1300323120,0.99249953,0.22724277,-838328294,3iNFjelI6lzBnmxWDEi36C
ro8qpHDuvPhk9r2cUd11Gfyr,2017-10-25 15:08:15.859,-960165766,8.203387E-4,0.96772915,912647123,3iNFjelI6lzBnmxWDEi36C
gWrpe7qSv3na8Tw7xrMLrT,2017-10-25 15:08:15.859,149304095,0.43262482,0.7979803,3492650,3iNFjelI6lzBnmxWDEi36C
NkAOdax9vZUvRYAQzz3UGCQ5t,2017-10-25 15:08:15.859,-881630312,0.0094257,0.6914656,1777793663,3iNFjelI6lzBnmxWDEi36C
ZFT9WNRh1k3uDFxuOCnxYwnG,2017-10-25 15:08:15.86,51159248,0.9245227,0.73596156,-1619105051,3iNFjelI6lzBnmxWDEi36C
QZnYermst4VjQpv9ksLMLzgwX,2017-10-25 15:08:15.86,-1815902672,0.76866066,0.3042276,1028950369,3iNFjelI6lzBnmxWDEi36C
yNq2h0flggUwtGu3Aojwt7,2017-10-25 15:08:15.862,-2092078537,0.72658056,0.11476117,1071773774,dxgAA7nd0Dsi4tStwI56odSQzd
7IfEt7e9em0c2c1BxlxjNJ,2017-10-25 15:08:15.862,1032829249,0.4072593,0.71855503,-1592322520,dxgAA7nd0Dsi4tStwI56odSQzd
jh2wtLBJNwYyaHKyHoiRP4,2017-10-25 15:08:15.862,1819310952,0.06831747,0.38762045,1834333853,dxgAA7nd0Dsi4tStwI56odSQzd
0wPD3fEkn1g5NxO1EPfSpY,2017-10-25 15:08:15.862,-1150765746,0.5889922,0.90646726,750987799,dxgAA7nd0Dsi4tStwI56odSQzd
SmAOUEkqGWm4jLCkajJyMA,2017-10-25 15:08:15.863,2125002556,0.5352929,0.067224026,-999708683,dxgAA7nd0Dsi4tStwI56odSQzd
dmruB3rEu25E5ETKINjCID0cYN,2017-10-25 15:08:15.863,251919954,0.876088,0.38998115,547805464,dxgAA7nd0Dsi4tStwI56odSQzd
yP5fK5nUDcJOBwj9aHdTGxJL4,2017-10-25 15:08:15.863,-687305419,0.7240812,0.80997396,-983975611,dxgAA7nd0Dsi4tStwI56odSQzd
ieCHg1M9iBr5uCXrXxcAlr,2017-10-25 15:08:15.863,-534484590,0.88543934,0.28719842,-733713631,dxgAA7nd0Dsi4tStwI56odSQzd
hXExSGi7DAmzoAP3PBtR3igel,2017-10-25 15:08:15.864,1763050898,0.73314923,0.14571011,275401504,dxgAA7nd0Dsi4tStwI56odSQzd
TDwnEbsOuHLARtzBgSxLB5b6AT,2017-10-25 15:08:15.864,-57212827,0.1463598,0.766743,-413917847,vSULw7GCVp2lRtsAFNGXatwfQ
phdmVeJCghDR3OyPHCVFJiB,2017-10-25 15:08:15.864,-2017169046,0.6884285,0.07288909,57840013,vSULw7GCVp2lRtsAFNGXatwfQ
pZWbbwZ4HLC7CITL5MJRmGpTU,2017-10-25 15:08:15.864,-2133517564,0.09403235,0.27975196,-554385777,vSULw7GCVp2lRtsAFNGXatwfQ
Z6KvNs4ru6TjkSRKtwLC4zNe,2017-10-25 15:08:15.865,241393767,0.5086209,0.17171288,-1795991562,vSULw7GCVp2lRtsAFNGXatwfQ
ID68pnrmy9UfQ501DiIsRq,2017-10-25 15:08:15.865,-166207502,0.28142488,0.71003836,2064576950,vSULw7GCVp2lRtsAFNGXatwfQ
G827KFZBkMr3Rs8HPz2cAnea,2017-10-25 15:08:15.865,-331237752,0.767199,0.35159987,-1177348394,vSULw7GCVp2lRtsAFNGXatwfQ
hW9v96e9UDuLWIBLdSBqTwXJFM,2017-10-25 15:08:15.865,-1260457553,0.355268,0.99447006,-1594079622,vSULw7GCVp2lRtsAFNGXatwfQ
uGWbwHEXOt250UH6o7Ab8HEp,2017-10-25 15:08:15.866,-2107067895,0.9003851,0.8617981,-379051311,rB7bs1Yra8UIDPsEgYgSEKtz
AKVt5Tn8Di3VvqVfF5IdZCi5,2017-10-25 15:08:15.866,-39761513,0.4100535,0.41942233,-1265576590,rB7bs1Yra8UIDPsEgYgSEKtz
cjPYsCG0BLo0VFGsYqzHIZm,2017-10-25 15:08:15.866,14352766,0.89896023,0.9359082,1287295170,rB7bs1Yra8UIDPsEgYgSEKtz
JpGZ8fsJ8FB52j5SmKYYgf4,2017-10-25 15:08:15.866,1100686160,0.42716855,0.06495172,1358809744,rB7bs1Yra8UIDPsEgYgSEKtz
PUmw5Z73Bf7GRZtKmlzw9SN8b,2017-10-25 15:08:15.866,-239971512,0.5699487,0.5554372,-1092235859,rB7bs1Yra8UIDPsEgYgSEKtz
DQKWXHrgFEKMUirk5ununjAY3,2017-10-25 15:08:15.867,394407985,0.49397224,0.40052617,-519367237,rB7bs1Yra8UIDPsEgYgSEKtz
2LyVj7lkkmiUHkbvFiPpniu,2017-10-25 15:08:15.867,2115641207,0.38889986,0.52048033,-99942516,rB7bs1Yra8UIDPsEgYgSEKtz
lr61qRHp5AjBqfhMsSD3Tc,2017-10-25 15:08:15.867,-1332685537,0.66894877,0.95108634,-1630994222,rB7bs1Yra8UIDPsEgYgSEKtz
AwAFFUafESbWpWvyujN6SXk,2017-10-25 15:08:15.868,-2100739965,0.21483982,0.928966,-475437409,Q2UTncmJkpMQc2XudrdEfWX
FRmlRLozuRb77EBr3hQDGl,2017-10-25 15:08:15.868,-1116525010,0.18370539,0.2927789,2064619168,Q2UTncmJkpMQc2XudrdEfWX
tCLSc0SqBVRAdeqIdxqT8jJDl,2017-10-25 15:08:15.868,-1055948908,0.8291413,0.7248517,2100286195,Q2UTncmJkpMQc2XudrdEfWX
9cUREk8Wczy18UEINkHRMlwCE3,2017-10-25 15:08:15.869,2039974061,0.96806234,0.11144543,-2139395977,Q2UTncmJkpMQc2XudrdEfWX
70NihWlT2IWUbO3eRLujgJkhfp,2017-10-25 15:08:15.869,2030578243,0.59681314,0.4445184,-1448961621,Q2UTncmJkpMQc2XudrdEfWX
QTz9leHjxBCTiKY4UR8t3s,2017-10-25 15:08:15.869,-2023087891,0.5446343,0.40495503,-1304796964,Q2UTncmJkpMQc2XudrdEfWX
S4ntp4OombhEi7xmvFpjcb,2017-10-25 15:08:15.869,1581500790,0.048316002,0.14859778,-396325261,Q2UTncmJkpMQc2XudrdEfWX
4Xjx3vIgwY85XRa5KwpSrmp,2017-10-25 15:08:15.869,432659046,0.5600651,0.94251573,527869696,Q2UTncmJkpMQc2XudrdEfWX
