ID,timestamp,assignedCores,assignedMemory,assignedDisk,server
HaP0cnMuC8fmJtvqRgNXFNKOHRDWklR7gkofM93jw2sbGg6KszT4XPeQrDULfQ0LomdT,2017-10-31 13:01:24.992,1,7.0,-128.0,PEky4MktEV3QtK1StjAz2yWJTf9I4M9sDryX4Ugnnyg7JefOkkrOLyKggVgYl5fs9ZD
zy6LwjEg0Y4mJkUfwV5zIqWya6ALPYTPx1eZxSWSfmFnKXwskcLCNKarJHxZ,2017-10-31 13:01:24.995,0,-2.0,256.0,PEky4MktEV3QtK1StjAz2yWJTf9I4M9sDryX4Ugnnyg7JefOkkrOLyKggVgYl5fs9ZD
2cNubOJuNb4JiXM4ebeQhWSnu4aZgaT7rwuUNGRR82xOJtQDm3eNNSLKRj,2017-10-31 13:01:24.996,1,5.0,384.0,PEky4MktEV3QtK1StjAz2yWJTf9I4M9sDryX4Ugnnyg7JefOkkrOLyKggVgYl5fs9ZD
hFk1B3MVaNhyET1y8V0SSIkDU2IDytxPtQQHKS4fdxZZJ2CbzLz9FOuTKl,2017-10-31 13:01:24.996,1,2.0,-512.0,PEky4MktEV3QtK1StjAz2yWJTf9I4M9sDryX4Ugnnyg7JefOkkrOLyKggVgYl5fs9ZD
0Gd2L7cY1VdwpU96damtBXzuv6OyCqGh4v9v0ptdnjEQUtDQ1zxRqNXnwv7vx4Kx,2017-10-31 13:01:24.996,1,-4.0,-768.0,PEky4MktEV3QtK1StjAz2yWJTf9I4M9sDryX4Ugnnyg7JefOkkrOLyKggVgYl5fs9ZD
Mx7igPKShS8UoNVrT7HTHJwcrvUKxZRGyaK87XEZOXITdqfMhGXRwkilmSlQXbeQ7Q6i,2017-10-31 13:01:24.997,1,1.0,896.0,PEky4MktEV3QtK1StjAz2yWJTf9I4M9sDryX4Ugnnyg7JefOkkrOLyKggVgYl5fs9ZD
xOzR8cwOdfh3WbIhZejgixAshYVHmCCFTwcOfmF8FwftjzTjBlIFJNG3bYBE,2017-10-31 13:01:24.997,2,-6.0,128.0,PEky4MktEV3QtK1StjAz2yWJTf9I4M9sDryX4Ugnnyg7JefOkkrOLyKggVgYl5fs9ZD
GRmUnbuNHbBVPbNPf5piOzGp0SFmJu1JoyGRu1pYtwC6Lmu38ShEucbW32aE9H,2017-10-31 13:01:24.998,0,5.0,384.0,kCku1j0aTZs3IWztEYfNz8QpSmENqJGrVwHF0CQMHoYAFPFHciC7kxuAxGIIvj9D6
biEmRPOVQc9HUulsQkF6XeNYOXX7RlfmEOfsSI7TXlOAWuXFkeriHGHI8Ry2MJ5,2017-10-31 13:01:24.998,2,1.0,768.0,kCku1j0aTZs3IWztEYfNz8QpSmENqJGrVwHF0CQMHoYAFPFHciC7kxuAxGIIvj9D6
d8sDKAnW8Uf9ALALQZ5KzpHCHgQKAB2VPpTGIJrYt4rkN4gm7QCUZ6hBqaay74myS,2017-10-31 13:01:24.998,1,-3.0,128.0,kCku1j0aTZs3IWztEYfNz8QpSmENqJGrVwHF0CQMHoYAFPFHciC7kxuAxGIIvj9D6
bkwJCqtWhRZyS8XBqD2ahreaKOkawBD813jtY9Ug48YLOUkjXcFxc7vPvGv3oQwj9qs,2017-10-31 13:01:24.999,0,3.0,1024.0,kCku1j0aTZs3IWztEYfNz8QpSmENqJGrVwHF0CQMHoYAFPFHciC7kxuAxGIIvj9D6
S9bNjpxRXrGGJ3K3o0miGfSs14ZUeentHMuWiNiYx3Xd9vDMC7r4kDe1J7pDyoh4Z,2017-10-31 13:01:24.999,1,-3.0,0.0,kCku1j0aTZs3IWztEYfNz8QpSmENqJGrVwHF0CQMHoYAFPFHciC7kxuAxGIIvj9D6
LgKpiInqGes06tO7DQTggSuknQsrc3MAK3fNqW0Sdm02vuKDMgBYidz9448384g,2017-10-31 13:01:24.999,1,-4.0,1024.0,kCku1j0aTZs3IWztEYfNz8QpSmENqJGrVwHF0CQMHoYAFPFHciC7kxuAxGIIvj9D6
OtgDCgyHFX0q0aGrBUis1Dmtep0pAayj3C5U7AP2ZFBsOqH5YjxbFMLEP1pIZ,2017-10-31 13:01:24.999,2,4.0,128.0,kCku1j0aTZs3IWztEYfNz8QpSmENqJGrVwHF0CQMHoYAFPFHciC7kxuAxGIIvj9D6
lUqYfqToV80heOb0QcdP4EzzYetQWOuVN5QWTg6jTfU0Xro7JkMsC9b1wrPrymrTg,2017-10-31 13:01:25.0,1,8.0,384.0,kCku1j0aTZs3IWztEYfNz8QpSmENqJGrVwHF0CQMHoYAFPFHciC7kxuAxGIIvj9D6
NRdHixcIHorpJfdLymPYDV0tQxD2LWup8YnAgxMCC2cIjf5N7EpUG4bazgLYcatZO84,2017-10-31 13:01:25.0,1,8.0,384.0,8mBEZcd0Kcf5pwgHQ4wGIVPl2SfP8qWkqDFhwePB1nFa09SU4f55NTrN7AHX7fiNiRbmQ
Ncjp0Oy5HbIAMBW3j6IElRAXhDrMzkhttxJfMUp4SYVYHCxHoOgIe7hJpSBCGWaxYzU,2017-10-31 13:01:25.001,1,7.0,-256.0,8mBEZcd0Kcf5pwgHQ4wGIVPl2SfP8qWkqDFhwePB1nFa09SU4f55NTrN7AHX7fiNiRbmQ
3Q0bkJhWhv0CKusguvhiAZHtZCallGxVganaTrHah5b685SrHLXUCXPWB4tR5,2017-10-31 13:01:25.001,1,1.0,768.0,8mBEZcd0Kcf5pwgHQ4wGIVPl2SfP8qWkqDFhwePB1nFa09SU4f55NTrN7AHX7fiNiRbmQ
hZXAH2Ic0QeVaoUf0Y6Nq7KOKQgUi1voWiPqFYSYh1A9GNWWSwusdcYjkaf2nDWH6qhAlH,2017-10-31 13:01:25.001,1,0.0,-384.0,8mBEZcd0Kcf5pwgHQ4wGIVPl2SfP8qWkqDFhwePB1nFa09SU4f55NTrN7AHX7fiNiRbmQ
