ID,timestamp,durantion,consumedDisk,consumedCPUrate,parentJob,hostMachine
abE5kfQ4pebf6sPRmjy8mnXsXRynGKdxayYCtcSjXs6vqjzHMxA1STNhnYyRkVhfTCw7X,2017-10-31 13:01:25.023,1219105428,0.15837121,0.92721385,yRltuZcipECMHSrnEWamS6g9DfE7EOeBoBOVkeyG7VvUsjmvOSiRkpNq5fKh,OtgDCgyHFX0q0aGrBUis1Dmtep0pAayj3C5U7AP2ZFBsOqH5YjxbFMLEP1pIZ
UCbG3HO0xgvqmftyphKzqGQUu4G4oVmj5hYVRkw57Rr54vDZG53OvTPhtWXPDAg,2017-10-31 13:01:25.025,-1696668480,0.20617634,0.68998265,yRltuZcipECMHSrnEWamS6g9DfE7EOeBoBOVkeyG7VvUsjmvOSiRkpNq5fKh,AJTkEzA98dsxsrhAfPdrfkPqi4GpC2hfVDN0rpQeTw8P9kb1cNn3d2BbFPW
C2lmbbCoeyCMPXBGl7vV3HnoYsDPygCoXYytQCAxpDatRfLft2BNUpeLHR88EOS,2017-10-31 13:01:25.025,-57514804,0.2087279,0.38881862,yRltuZcipECMHSrnEWamS6g9DfE7EOeBoBOVkeyG7VvUsjmvOSiRkpNq5fKh,yaAvGKsXzn7TrrB0yoIkbfIlydT4MHnBdc61bDPhffa9lYscKGApvNV34MNbMp4T
oonpaiOCp0REJb5KthI78C49bNu8JIjSDbjgfAysYkKkXET1PoImOgJcxFOpyTnGWPrYB,2017-10-31 13:01:25.025,-1773856712,0.9754508,0.5040926,yRltuZcipECMHSrnEWamS6g9DfE7EOeBoBOVkeyG7VvUsjmvOSiRkpNq5fKh,85zBwLvy5nuva2Zu9RmPSAuT36cDZkvgGsleRhRWdCUmbbX2kcO1CTffoXSSr4rxg
4Wo4MiwZeNUO0r39pWMV0x9wEna8tNRNrRM6t8IInhh9UUVwgiYEUrzi00fb,2017-10-31 13:01:25.026,776591084,0.051286638,0.43766862,yRltuZcipECMHSrnEWamS6g9DfE7EOeBoBOVkeyG7VvUsjmvOSiRkpNq5fKh,GRmUnbuNHbBVPbNPf5piOzGp0SFmJu1JoyGRu1pYtwC6Lmu38ShEucbW32aE9H
kzvYRvA27RiAY17rNe8ViWv9CNzsthxj9I2Fpn8uaUgTUEi6Kwg6BeFPIzFepJ7qd,2017-10-31 13:01:25.026,-1414235856,0.9814838,0.73928523,yRltuZcipECMHSrnEWamS6g9DfE7EOeBoBOVkeyG7VvUsjmvOSiRkpNq5fKh,Ncjp0Oy5HbIAMBW3j6IElRAXhDrMzkhttxJfMUp4SYVYHCxHoOgIe7hJpSBCGWaxYzU
F0GheuOSTXHzzbB0AsuHsyVt0OYIDr6JAlhRQuTPeEM4BdgmM0k3CvBgdJoxmtc,2017-10-31 13:01:25.026,-1751069056,8.867979E-4,0.566983,yRltuZcipECMHSrnEWamS6g9DfE7EOeBoBOVkeyG7VvUsjmvOSiRkpNq5fKh,HHHlSo63PvVpGM6mVoqHge71Nckpy3QxEuS9ofaJuIANIVkNhCy2pcjgOXp9hyAW0RJp
mrQzmO3v6FGOpDDE1Uqhm7ZMDzfGBfJCnxczDCpue8jM5AScthUdmDbkCZhbcl,2017-10-31 13:01:25.026,1631378972,0.27637458,0.18183386,yRltuZcipECMHSrnEWamS6g9DfE7EOeBoBOVkeyG7VvUsjmvOSiRkpNq5fKh,TFxkMPfwIfi9N3XO5LZdQqMHqxMVsuq42xp0BLJcegzaRVhtpI7b3t2rdJTQ
AJlKbIOLniNtOTqK1jZyrzZGZLcptQsjY5BR3CTjmDJEw6YsU4ZiPXPN6mtzooTRHWrNUT,2017-10-31 13:01:25.027,-1006448316,0.6873223,0.97779006,J3CaltFvCrOInysJN4dPefxzbQK7ESOfrcBj7Ed6bsb4nYXp4g65yLyCkwap,FkL7HzKJoX7Zfh4FXu9FvWebV9Bv6bPXzfJsdxMMwgOJrYw8ItHAssXQnceR1ICO7mQ7p
6wd4Ae07xBhYvPE3RrBHH3zb0p8ASPQzrzq15hU44jT97ah0KgBNs11o5tgtEBqdgt,2017-10-31 13:01:25.027,-754239868,0.12801874,0.7811043,J3CaltFvCrOInysJN4dPefxzbQK7ESOfrcBj7Ed6bsb4nYXp4g65yLyCkwap,yiGruYDUvEoT0UUzwVdmqTYjVMATxA8W1g4RitvZqNyuXG7aDD4NH2Q7kea
